store_id,store_name,address,city,state,zip_code,phone,store_format,country,status,cvs_pharmacy,starbucks,drive_up_pickup
T-1033,Target San Jose #33,4100 Almaden Expy,San Jose,CA,95154,(902) 532-1916,SuperTarget,US,Open,Yes,Yes,Yes
T-1034,Target San Diego #34,4225 Camino Del Rio N,San Diego,CA,92161,(435) 232-6168,Standard,US,Open,Yes,Yes,Yes
T-1035,Target Sacramento #35,4350 Florin Rd,Sacramento,CA,95868,(611) 474-2084,Standard,US,Open,Yes,Yes,Yes
T-1036,Target Irvine #36,4475 Spectrum Center Dr,Irvine,CA,92675,(417) 780-6155,Standard,US,Open,Yes,Yes,Yes
T-1037,Target Fresno #37,4600 Shaw Ave,Fresno,CA,93782,(418) 871-9179,Standard,US,Open,Yes,Yes,Yes
T-1038,Target Bakersfield #38,4725 Ming Ave,Bakersfield,CA,93389,(606) 858-8517,Standard,US,Open,Yes,Yes,Yes
T-1039,Target Riverside #39,4850 Tyler St,Riverside,CA,92596,(347) 471-3287,Standard,US,Open,Yes,Yes,Yes
T-1040,Target Oakland #40,4975 Broadway,Oakland,CA,94613,(453) 962-9830,Small-format,US,Open,Yes,Yes,Yes
T-1041,Target Los Angeles #41,5100 S Figueroa St,Los Angeles,CA,90020,(470) 964-8019,SuperTarget,US,Open,Yes,Yes,Yes
T-1042,Target San Francisco #42,5225 Mission St,San Francisco,CA,94127,(798) 608-6930,Standard,US,Open,Yes,Yes,Yes
T-1043,Target San Jose #43,5350 Almaden Expy,San Jose,CA,95134,(425) 341-9348,Standard,US,Open,Yes,Yes,Yes
T-1044,Target San Diego #44,5475 Camino Del Rio N,San Diego,CA,92141,(706) 293-1771,Standard,US,Open,Yes,Yes,Yes
T-1045,Target Sacramento #45,5600 Florin Rd,Sacramento,CA,95848,(313) 356-3621,Standard,US,Open,Yes,Yes,Yes
T-1046,Target Irvine #46,5725 Spectrum Center Dr,Irvine,CA,92655,(897) 632-2040,Standard,US,Open,Yes,Yes,Yes
T-1047,Target Fresno #47,5850 Shaw Ave,Fresno,CA,93762,(595) 590-8668,Standard,US,Open,Yes,Yes,Yes
T-1048,Target Bakersfield #48,5975 Ming Ave,Bakersfield,CA,93369,(742) 457-1188,Standard,US,Open,Yes,Yes,Yes
T-1049,Target Riverside #49,6100 Tyler St,Riverside,CA,92576,(897) 938-2876,SuperTarget,US,Open,Yes,Yes,Yes
T-1050,Target Oakland #50,6225 Broadway,Oakland,CA,94683,(899) 749-5371,Small-format,US,Open,Yes,Yes,Yes
T-1051,Target Los Angeles #51,6350 S Figueroa St,Los Angeles,CA,90090,(988) 856-6573,Standard,US,Open,Yes,Yes,Yes
T-1052,Target San Francisco #52,6475 Mission St,San Francisco,CA,94197,(315) 500-8123,Standard,US,Open,Yes,Yes,Yes
T-1053,Target San Jose #53,6600 Almaden Expy,San Jose,CA,95114,(362) 664-1053,Standard,US,Open,Yes,Yes,Yes
T-1054,Target San Diego #54,6725 Camino Del Rio N,San Diego,CA,92121,(940) 936-5315,Standard,US,Open,Yes,Yes,Yes
T-1055,Target Sacramento #55,6850 Florin Rd,Sacramento,CA,95828,(713) 980-3927,Standard,US,Open,Yes,Yes,Yes
T-1056,Target Irvine #56,6975 Spectrum Center Dr,Irvine,CA,92635,(720) 308-5889,Standard,US,Open,Yes,Yes,Yes
T-1057,Target Fresno #57,7100 Shaw Ave,Fresno,CA,93742,(855) 719-4258,SuperTarget,US,Open,Yes,Yes,Yes
T-1058,Target Bakersfield #58,7225 Ming Ave,Bakersfield,CA,93349,(357) 582-3646,Standard,US,Open,Yes,Yes,Yes
T-1059,Target Riverside #59,7350 Tyler St,Riverside,CA,92556,(753) 997-9689,Standard,US,Open,Yes,Yes,Yes
T-1060,Target Oakland #60,7475 Broadway,Oakland,CA,94663,(201) 813-6310,Small-format,US,Open,Yes,Yes,Yes
T-1061,Target Los Angeles #61,7600 S Figueroa St,Los Angeles,CA,90070,(701) 219-2832,Standard,US,Open,Yes,Yes,Yes
T-1062,Target San Francisco #62,7725 Mission St,San Francisco,CA,94177,(572) 514-4923,Standard,US,Open,Yes,Yes,Yes
T-1063,Target San Jose #63,7850 Almaden Expy,San Jose,CA,95184,(260) 446-2290,Standard,US,Open,Yes,Yes,Yes
T-1064,Target San Diego #64,7975 Camino Del Rio N,San Diego,CA,92191,(288) 949-8962,Standard,US,Open,Yes,Yes,Yes
T-1065,Target Sacramento #65,8100 Florin Rd,Sacramento,CA,95898,(271) 978-9727,SuperTarget,US,Open,Yes,Yes,Yes
T-1066,Target Irvine #66,8225 Spectrum Center Dr,Irvine,CA,92615,(985) 328-3103,Standard,US,Open,Yes,Yes,Yes
T-1067,Target Fresno #67,8350 Shaw Ave,Fresno,CA,93722,(876) 686-3705,Standard,US,Open,Yes,Yes,Yes
T-1068,Target Bakersfield #68,8475 Ming Ave,Bakersfield,CA,93329,(472) 740-7932,Standard,US,Open,Yes,Yes,Yes
T-1069,Target Riverside #69,8600 Tyler St,Riverside,CA,92536,(417) 752-4295,Standard,US,Open,Yes,Yes,Yes
T-1070,Target Oakland #70,8725 Broadway,Oakland,CA,94643,(931) 519-7537,Small-format,US,Open,Yes,Yes,Yes
T-1071,Target Los Angeles #71,8850 S Figueroa St,Los Angeles,CA,90050,(888) 865-7118,Standard,US,Open,Yes,Yes,Yes
T-1072,Target San Francisco #72,8975 Mission St,San Francisco,CA,94157,(649) 729-8397,Standard,US,Open,Yes,Yes,Yes
T-1073,Target San Jose #73,200 Almaden Expy,San Jose,CA,95164,(324) 453-4681,SuperTarget,US,Open,Yes,Yes,Yes
T-1074,Target San Diego #74,325 Camino Del Rio N,San Diego,CA,92171,(266) 546-1344,Standard,US,Open,Yes,Yes,Yes
T-1075,Target Sacramento #75,450 Florin Rd,Sacramento,CA,95878,(803) 767-4770,Standard,US,Open,Yes,Yes,Yes
T-1076,Target Irvine #76,575 Spectrum Center Dr,Irvine,CA,92685,(803) 425-1117,Standard,US,Open,Yes,Yes,Yes
T-1077,Target Fresno #77,700 Shaw Ave,Fresno,CA,93792,(273) 924-1964,Standard,US,Open,Yes,Yes,Yes
T-1078,Target Bakersfield #78,825 Ming Ave,Bakersfield,CA,93399,(435) 269-1514,Standard,US,Open,Yes,Yes,Yes
T-1079,Target Riverside #79,950 Tyler St,Riverside,CA,92516,(539) 272-9423,Standard,US,Open,Yes,Yes,Yes
T-1080,Target Oakland #80,1075 Broadway,Oakland,CA,94623,(444) 485-8953,Small-format,US,Open,Yes,Yes,Yes
T-1081,Target Los Angeles #81,1200 S Figueroa St,Los Angeles,CA,90030,(420) 752-3167,SuperTarget,US,Open,Yes,Yes,Yes
T-1082,Target San Francisco #82,1325 Mission St,San Francisco,CA,94137,(941) 784-8744,Standard,US,Open,Yes,Yes,Yes
T-1083,Target San Jose #83,1450 Almaden Expy,San Jose,CA,95144,(449) 684-7669,Standard,US,Open,Yes,Yes,Yes
T-1084,Target San Diego #84,1575 Camino Del Rio N,San Diego,CA,92151,(395) 296-2588,Standard,US,Open,Yes,Yes,Yes
T-1085,Target Sacramento #85,1700 Florin Rd,Sacramento,CA,95858,(875) 641-6804,Standard,US,Open,Yes,Yes,Yes
T-1086,Target Irvine #86,1825 Spectrum Center Dr,Irvine,CA,92665,(634) 620-8651,Standard,US,Open,Yes,Yes,Yes
T-1087,Target Fresno #87,1950 Shaw Ave,Fresno,CA,93772,(947) 255-2612,Standard,US,Open,Yes,Yes,Yes
T-1088,Target Bakersfield #88,2075 Ming Ave,Bakersfield,CA,93379,(263) 612-6559,Standard,US,Open,Yes,Yes,Yes
T-1089,Target Riverside #89,2200 Tyler St,Riverside,CA,92586,(312) 454-4139,SuperTarget,US,Open,Yes,Yes,Yes
T-1090,Target Oakland #90,2325 Broadway,Oakland,CA,94693,(395) 749-8350,Small-format,US,Open,Yes,Yes,Yes
T-1091,Target Los Angeles #91,2450 S Figueroa St,Los Angeles,CA,90010,(344) 632-4006,Standard,US,Open,Yes,Yes,Yes
T-1092,Target San Francisco #92,2575 Mission St,San Francisco,CA,94117,(486) 673-5092,Standard,US,Open,Yes,Yes,Yes
T-1093,Target San Jose #93,2700 Almaden Expy,San Jose,CA,95124,(278) 653-2604,Standard,US,Open,Yes,Yes,Yes
T-1094,Target San Diego #94,2825 Camino Del Rio N,San Diego,CA,92131,(252) 867-9856,Standard,US,Open,Yes,Yes,Yes
T-1095,Target Sacramento #95,2950 Florin Rd,Sacramento,CA,95838,(216) 295-4872,Standard,US,Open,Yes,Yes,Yes
T-1096,Target Irvine #96,3075 Spectrum Center Dr,Irvine,CA,92645,(371) 616-8956,Standard,US,Open,Yes,Yes,Yes
T-1097,Target Fresno #97,3200 Shaw Ave,Fresno,CA,93752,(693) 418-7570,SuperTarget,US,Open,Yes,Yes,Yes
T-1098,Target Bakersfield #98,3325 Ming Ave,Bakersfield,CA,93359,(261) 368-7209,Standard,US,Open,Yes,Yes,Yes
T-1099,Target Riverside #99,3450 Tyler St,Riverside,CA,92566,(203) 599-5345,Standard,US,Open,Yes,Yes,Yes
T-1100,Target Oakland #100,3575 Broadway,Oakland,CA,94673,(666) 492-7930,Small-format,US,Open,Yes,Yes,Yes
T-1101,Target Los Angeles #101,3700 S Figueroa St,Los Angeles,CA,90080,(914) 948-8973,Standard,US,Open,Yes,Yes,Yes
T-1102,Target San Francisco #102,3825 Mission St,San Francisco,CA,94187,(359) 394-5861,Standard,US,Open,Yes,Yes,Yes
T-1103,Target San Jose #103,3950 Almaden Expy,San Jose,CA,95194,(423) 259-9883,Standard,US,Open,Yes,Yes,Yes
T-1104,Target San Diego #104,4075 Camino Del Rio N,San Diego,CA,92111,(263) 965-6138,Standard,US,Open,Yes,Yes,Yes
T-1105,Target Sacramento #105,4200 Florin Rd,Sacramento,CA,95818,(259) 251-8811,SuperTarget,US,Open,Yes,Yes,Yes
T-1106,Target Irvine #106,4325 Spectrum Center Dr,Irvine,CA,92625,(715) 743-3579,Standard,US,Open,Yes,Yes,Yes
T-1107,Target Fresno #107,4450 Shaw Ave,Fresno,CA,93732,(259) 720-2312,Standard,US,Open,Yes,Yes,Yes
T-1108,Target Bakersfield #108,4575 Ming Ave,Bakersfield,CA,93339,(391) 270-2113,Standard,US,Open,Yes,Yes,Yes
T-1109,Target Riverside #109,4700 Tyler St,Riverside,CA,92546,(892) 440-7615,Standard,US,Open,Yes,Yes,Yes
T-1110,Target Oakland #110,4825 Broadway,Oakland,CA,94653,(323) 783-5033,Small-format,US,Open,Yes,Yes,Yes
T-1111,Target Los Angeles #111,4950 S Figueroa St,Los Angeles,CA,90060,(793) 808-1651,Standard,US,Open,Yes,Yes,Yes
T-1112,Target San Francisco #112,5075 Mission St,San Francisco,CA,94167,(835) 283-7868,Standard,US,Open,Yes,Yes,Yes
T-1113,Target San Jose #113,5200 Almaden Expy,San Jose,CA,95174,(874) 797-9565,SuperTarget,US,Open,Yes,Yes,Yes
T-1114,Target San Diego #114,5325 Camino Del Rio N,San Diego,CA,92181,(524) 467-4346,Standard,US,Open,Yes,Yes,Yes
T-1115,Target Sacramento #115,5450 Florin Rd,Sacramento,CA,95888,(886) 933-6147,Standard,US,Open,Yes,Yes,Yes
T-1116,Target Irvine #116,5575 Spectrum Center Dr,Irvine,CA,92695,(445) 471-7484,Standard,US,Open,Yes,Yes,Yes
T-1117,Target Fresno #117,5700 Shaw Ave,Fresno,CA,93712,(335) 887-5915,Standard,US,Open,Yes,Yes,Yes
T-1118,Target Bakersfield #118,5825 Ming Ave,Bakersfield,CA,93319,(669) 523-2188,Standard,US,Open,Yes,Yes,Yes
T-1119,Target Riverside #119,5950 Tyler St,Riverside,CA,92526,(210) 669-2638,Standard,US,Open,Yes,Yes,Yes
T-1120,Target Oakland #120,6075 Broadway,Oakland,CA,94633,(276) 750-4492,Small-format,US,Open,Yes,Yes,Yes
T-1121,Target Los Angeles #121,6200 S Figueroa St,Los Angeles,CA,90040,(719) 471-3170,SuperTarget,US,Open,Yes,Yes,Yes
T-1122,Target San Francisco #122,6325 Mission St,San Francisco,CA,94147,(558) 270-5002,Standard,US,Open,Yes,Yes,Yes
T-1123,Target San Jose #123,6450 Almaden Expy,San Jose,CA,95154,(579) 491-3584,Standard,US,Open,Yes,Yes,Yes
T-1124,Target San Diego #124,6575 Camino Del Rio N,San Diego,CA,92161,(649) 756-5956,Standard,US,Open,Yes,Yes,Yes
T-1125,Target Sacramento #125,6700 Florin Rd,Sacramento,CA,95868,(827) 869-9666,Standard,US,Open,Yes,Yes,Yes
T-1126,Target Irvine #126,6825 Spectrum Center Dr,Irvine,CA,92675,(209) 883-5905,Standard,US,Open,Yes,Yes,Yes
T-1127,Target Fresno #127,6950 Shaw Ave,Fresno,CA,93782,(880) 306-3200,Standard,US,Open,Yes,Yes,Yes
T-1128,Target Bakersfield #128,7075 Ming Ave,Bakersfield,CA,93389,(471) 318-2753,Standard,US,Open,Yes,Yes,Yes
T-1129,Target Riverside #129,7200 Tyler St,Riverside,CA,92596,(961) 766-3546,SuperTarget,US,Open,Yes,Yes,Yes
T-1130,Target Oakland #130,7325 Broadway,Oakland,CA,94613,(479) 488-4450,Small-format,US,Open,Yes,Yes,Yes
T-1131,Target Los Angeles #131,7450 S Figueroa St,Los Angeles,CA,90020,(935) 551-4335,Standard,US,Open,Yes,Yes,Yes
T-1132,Target San Francisco #132,7575 Mission St,San Francisco,CA,94127,(904) 849-5325,Standard,US,Open,Yes,Yes,Yes
T-1133,Target San Jose #133,7700 Almaden Expy,San Jose,CA,95134,(718) 700-5114,Standard,US,Open,Yes,Yes,Yes
T-1134,Target San Diego #134,7825 Camino Del Rio N,San Diego,CA,92141,(253) 294-7939,Standard,US,Open,Yes,Yes,Yes
T-1135,Target Sacramento #135,7950 Florin Rd,Sacramento,CA,95848,(484) 245-1058,Standard,US,Open,Yes,Yes,Yes
T-1136,Target Irvine #136,8075 Spectrum Center Dr,Irvine,CA,92655,(542) 989-3143,Standard,US,Open,Yes,Yes,Yes
T-1137,Target Fresno #137,8200 Shaw Ave,Fresno,CA,93762,(853) 468-3647,SuperTarget,US,Open,Yes,Yes,Yes
T-1138,Target Bakersfield #138,8325 Ming Ave,Bakersfield,CA,93369,(960) 652-8007,Standard,US,Open,Yes,Yes,Yes
T-1139,Target Riverside #139,8450 Tyler St,Riverside,CA,92576,(775) 209-2832,Standard,US,Open,Yes,Yes,Yes
T-1140,Target Oakland #140,8575 Broadway,Oakland,CA,94683,(278) 907-3442,Small-format,US,Open,Yes,Yes,Yes
T-1141,Target Los Angeles #141,8700 S Figueroa St,Los Angeles,CA,90090,(759) 236-7049,Standard,US,Open,Yes,Yes,Yes
T-1142,Target San Francisco #142,8825 Mission St,San Francisco,CA,94197,(797) 765-3426,Standard,US,Open,Yes,Yes,Yes
T-1143,Target San Jose #143,8950 Almaden Expy,San Jose,CA,95114,(641) 330-1685,Standard,US,Open,Yes,Yes,Yes
T-1144,Target San Diego #144,175 Camino Del Rio N,San Diego,CA,92121,(516) 573-1653,Standard,US,Open,Yes,Yes,Yes
T-1145,Target Sacramento #145,300 Florin Rd,Sacramento,CA,95828,(567) 415-5088,SuperTarget,US,Open,Yes,Yes,Yes
T-1146,Target Irvine #146,425 Spectrum Center Dr,Irvine,CA,92635,(883) 305-6794,Standard,US,Open,Yes,Yes,Yes
T-1147,Target Fresno #147,550 Shaw Ave,Fresno,CA,93742,(774) 616-3532,Standard,US,Open,Yes,Yes,Yes
T-1148,Target Bakersfield #148,675 Ming Ave,Bakersfield,CA,93349,(443) 366-3900,Standard,US,Open,Yes,Yes,Yes
T-1149,Target Riverside #149,800 Tyler St,Riverside,CA,92556,(623) 225-3938,Standard,US,Open,Yes,Yes,Yes
T-1150,Target Oakland #150,925 Broadway,Oakland,CA,94663,(955) 540-7745,Small-format,US,Open,Yes,Yes,Yes
T-1151,Target Los Angeles #151,1050 S Figueroa St,Los Angeles,CA,90070,(886) 952-5065,Standard,US,Open,Yes,Yes,Yes
T-1152,Target San Francisco #152,1175 Mission St,San Francisco,CA,94177,(474) 363-2771,Standard,US,Open,Yes,Yes,Yes
T-1153,Target San Jose #153,1300 Almaden Expy,San Jose,CA,95184,(592) 239-8711,SuperTarget,US,Open,Yes,Yes,Yes
T-1154,Target San Diego #154,1425 Camino Del Rio N,San Diego,CA,92191,(428) 404-8541,Standard,US,Open,Yes,Yes,Yes
T-1155,Target Sacramento #155,1550 Florin Rd,Sacramento,CA,95898,(559) 512-4728,Standard,US,Open,Yes,Yes,Yes
T-1156,Target Irvine #156,1675 Spectrum Center Dr,Irvine,CA,92615,(429) 224-4164,Standard,US,Open,Yes,Yes,Yes
T-1157,Target Fresno #157,1800 Shaw Ave,Fresno,CA,93722,(609) 536-5564,Standard,US,Open,Yes,Yes,Yes
T-1158,Target Bakersfield #158,1925 Ming Ave,Bakersfield,CA,93329,(272) 991-5573,Standard,US,Open,Yes,Yes,Yes
T-1159,Target Riverside #159,2050 Tyler St,Riverside,CA,92536,(560) 856-9346,Standard,US,Open,Yes,Yes,Yes
T-1160,Target Oakland #160,2175 Broadway,Oakland,CA,94643,(610) 895-9785,Small-format,US,Open,Yes,Yes,Yes
T-1161,Target Los Angeles #161,2300 S Figueroa St,Los Angeles,CA,90050,(540) 228-2889,SuperTarget,US,Open,Yes,Yes,Yes
T-1162,Target San Francisco #162,2425 Mission St,San Francisco,CA,94157,(468) 382-5349,Standard,US,Open,Yes,Yes,Yes
T-1163,Target San Jose #163,2550 Almaden Expy,San Jose,CA,95164,(240) 311-8119,Standard,US,Open,Yes,Yes,Yes
T-1164,Target San Diego #164,2675 Camino Del Rio N,San Diego,CA,92171,(554) 946-6139,Standard,US,Open,Yes,Yes,Yes
T-1165,Target Sacramento #165,2800 Florin Rd,Sacramento,CA,95878,(647) 820-9379,Standard,US,Open,Yes,Yes,Yes
T-1166,Target Irvine #166,2925 Spectrum Center Dr,Irvine,CA,92685,(319) 594-4114,Standard,US,Open,Yes,Yes,Yes
T-1167,Target Fresno #167,3050 Shaw Ave,Fresno,CA,93792,(461) 245-8144,Standard,US,Open,Yes,Yes,Yes
T-1168,Target Bakersfield #168,3175 Ming Ave,Bakersfield,CA,93399,(202) 732-9821,Standard,US,Open,Yes,Yes,Yes
T-1169,Target Riverside #169,3300 Tyler St,Riverside,CA,92516,(904) 936-4228,SuperTarget,US,Open,Yes,Yes,Yes
T-1170,Target Oakland #170,3425 Broadway,Oakland,CA,94623,(573) 641-2146,Small-format,US,Open,Yes,Yes,Yes
T-1171,Target Los Angeles #171,3550 S Figueroa St,Los Angeles,CA,90030,(881) 538-6143,Standard,US,Open,Yes,Yes,Yes
T-1172,Target San Francisco #172,3675 Mission St,San Francisco,CA,94137,(880) 327-5920,Standard,US,Open,Yes,Yes,Yes
T-1173,Target San Jose #173,3800 Almaden Expy,San Jose,CA,95144,(720) 516-7691,Standard,US,Open,Yes,Yes,Yes
T-1174,Target San Diego #174,3925 Camino Del Rio N,San Diego,CA,92151,(535) 612-5844,Standard,US,Open,Yes,Yes,Yes
T-1175,Target Sacramento #175,4050 Florin Rd,Sacramento,CA,95858,(768) 330-4143,Standard,US,Open,Yes,Yes,Yes
T-1176,Target Irvine #176,4175 Spectrum Center Dr,Irvine,CA,92665,(631) 880-7211,Standard,US,Open,Yes,Yes,Yes
T-1177,Target Fresno #177,4300 Shaw Ave,Fresno,CA,93772,(894) 966-3851,SuperTarget,US,Open,Yes,Yes,Yes
T-1178,Target Bakersfield #178,4425 Ming Ave,Bakersfield,CA,93379,(831) 782-5930,Standard,US,Open,Yes,Yes,Yes
T-1179,Target Riverside #179,4550 Tyler St,Riverside,CA,92586,(616) 761-1006,Standard,US,Open,Yes,Yes,Yes
T-1180,Target Oakland #180,4675 Broadway,Oakland,CA,94693,(512) 493-4443,Small-format,US,Open,Yes,Yes,Yes
T-1181,Target Los Angeles #181,4800 S Figueroa St,Los Angeles,CA,90010,(641) 793-6279,Standard,US,Open,Yes,Yes,Yes
T-1182,Target San Francisco #182,4925 Mission St,San Francisco,CA,94117,(677) 652-8244,Standard,US,Open,Yes,Yes,Yes
T-1183,Target San Jose #183,5050 Almaden Expy,San Jose,CA,95124,(892) 418-9375,Standard,US,Open,Yes,Yes,Yes
T-1184,Target San Diego #184,5175 Camino Del Rio N,San Diego,CA,92131,(685) 953-3780,Standard,US,Open,Yes,Yes,Yes
T-1185,Target Sacramento #185,5300 Florin Rd,Sacramento,CA,95838,(875) 286-5649,SuperTarget,US,Open,Yes,Yes,Yes
T-1186,Target Irvine #186,5425 Spectrum Center Dr,Irvine,CA,92645,(728) 879-6491,Standard,US,Open,Yes,Yes,Yes
T-1187,Target Fresno #187,5550 Shaw Ave,Fresno,CA,93752,(296) 969-4848,Standard,US,Open,Yes,Yes,Yes
T-1188,Target Bakersfield #188,5675 Ming Ave,Bakersfield,CA,93359,(889) 517-4680,Standard,US,Open,Yes,Yes,Yes
T-1189,Target Riverside #189,5800 Tyler St,Riverside,CA,92566,(404) 350-1400,Standard,US,Open,Yes,Yes,Yes
T-1190,Target Oakland #190,5925 Broadway,Oakland,CA,94673,(248) 450-8784,Small-format,US,Open,Yes,Yes,Yes
T-1191,Target Los Angeles #191,6050 S Figueroa St,Los Angeles,CA,90080,(826) 986-2193,Standard,US,Open,Yes,Yes,Yes
T-1192,Target San Francisco #192,6175 Mission St,San Francisco,CA,94187,(667) 624-4185,Standard,US,Open,Yes,Yes,Yes
T-1193,Target San Jose #193,6300 Almaden Expy,San Jose,CA,95194,(936) 913-7291,SuperTarget,US,Open,Yes,Yes,Yes
T-1194,Target San Diego #194,6425 Camino Del Rio N,San Diego,CA,92111,(707) 609-4997,Standard,US,Open,Yes,Yes,Yes
T-1195,Target Sacramento #195,6550 Florin Rd,Sacramento,CA,95818,(352) 871-1090,Standard,US,Open,Yes,Yes,Yes
T-1196,Target Irvine #196,6675 Spectrum Center Dr,Irvine,CA,92625,(969) 988-2746,Standard,US,Open,Yes,Yes,Yes
T-1197,Target Fresno #197,6800 Shaw Ave,Fresno,CA,93732,(636) 424-3881,Standard,US,Open,Yes,Yes,Yes
T-1198,Target Bakersfield #198,6925 Ming Ave,Bakersfield,CA,93339,(913) 730-8611,Standard,US,Open,Yes,Yes,Yes
T-1199,Target Riverside #199,7050 Tyler St,Riverside,CA,92546,(252) 770-5082,Standard,US,Open,Yes,Yes,Yes
T-1200,Target Oakland #200,7175 Broadway,Oakland,CA,94653,(325) 667-3184,Small-format,US,Open,Yes,Yes,Yes
T-1201,Target Los Angeles #201,7300 S Figueroa St,Los Angeles,CA,90060,(676) 883-9702,SuperTarget,US,Open,Yes,Yes,Yes
T-1202,Target San Francisco #202,7425 Mission St,San Francisco,CA,94167,(773) 809-6198,Standard,US,Open,Yes,Yes,Yes
T-1203,Target San Jose #203,7550 Almaden Expy,San Jose,CA,95174,(974) 653-9270,Standard,US,Open,Yes,Yes,Yes
T-1204,Target San Diego #204,7675 Camino Del Rio N,San Diego,CA,92181,(637) 761-8305,Standard,US,Open,Yes,Yes,Yes
T-1205,Target Sacramento #205,7800 Florin Rd,Sacramento,CA,95888,(363) 961-8777,Standard,US,Open,Yes,Yes,Yes
T-1206,Target Irvine #206,7925 Spectrum Center Dr,Irvine,CA,92695,(661) 465-5050,Standard,US,Open,Yes,Yes,Yes
T-1207,Target Fresno #207,8050 Shaw Ave,Fresno,CA,93712,(853) 483-9540,Standard,US,Open,Yes,Yes,Yes
